Altium Designer Pick and Place Locations
C:\Users\joech\AppData\Local\TempReleases\Snapshot\4\Assembly\Pick Place\PNP-Mojo-v4-[No Variations].csv

========================================================================================================================
File Design Information:

Date:       07/06/24
Time:       15:57
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Layer","Designator","Center-X(mm)","Center-Y(mm)","Rotation","Comment","ComponentKind","Description","Footprint","Footprint Description"
"TopLayer","MH1","2.5400","22.8600","0","M2","Standard (No BOM)","Bare Hole, M2","HOLE_2MM","Bare Hole M2 - Normal Fit (2.4 mm)"
"TopLayer","MH2","22.8600","22.8600","0","M2","Standard (No BOM)","Bare Hole, M2","HOLE_2MM","Bare Hole M2 - Normal Fit (2.4 mm)"
"TopLayer","MH3","2.5400","2.5400","0","M2","Standard (No BOM)","Bare Hole, M2","HOLE_2MM","Bare Hole M2 - Normal Fit (2.4 mm)"
"TopLayer","MH4","22.8600","2.5400","0","M2","Standard (No BOM)","Bare Hole, M2","HOLE_2MM","Bare Hole M2 - Normal Fit (2.4 mm)"
"TopLayer","C1","10.2000","15.9620","270","GRM216R61E105KA12D","Standard","","CAPC2013X70X45NL10T25","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC Medium Density"
"TopLayer","C2","15.2000","15.9620","90","GRM216R61E105KA12D","Standard","","CAPC2013X70X45NL10T25","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC Medium Density"
"TopLayer","C3","12.7000","12.6500","0","C0805C474K5RACTU","Standard","CAP CER 0.47UF 50V 10% X7R 0805","FP-C0805C-DN-MFG",""
"TopLayer","IC1","12.7000","15.9620","90","LTC2959IDDB#TRMPBF","Standard","Ultra-low-power Battery Gas Gaug","SON50P200X300X80-11N-D",""
"TopLayer","J1","4.8560","12.7000","270","20404","Standard","Battery Connector PH-2POS wired for Adafruit style packs.  SMD RA 4UCON 20404 (similar to JST S2B-PH-SM4-TB(LF)(SN))","BAT-AF-S2B-PH-SM4","Battery Connector PH 2POS Adafruit style (JST-S2B-PH-SM4-TB(LF)(SN)_V_1)"
"BottomLayer","J2","2.5400","6.3500","0","Header 2-Pin, 0.100 in","Standard","Header 2-Pin, 0.100 inch (0.230 inch head)","HEADER_AA_002","Header, 0.100" pitch, type AA. 2POS"
"BottomLayer","J3","22.8600","6.4770","0","Header 2-Pin, 0.100 in","Standard","Header 2-Pin, 0.100 inch (0.230 inch head)","HEADER_AA_002","Header, 0.100" pitch, type AA. 2POS"
"TopLayer","J4","20.5183","12.7000","90","20404","Standard","Battery Connector PH-2POS wired for Adafruit style packs.  SMD RA 4UCON 20404 (similar to JST S2B-PH-SM4-TB(LF)(SN))","BAT-AF-S2B-PH-SM4","Battery Connector PH 2POS Adafruit style (JST-S2B-PH-SM4-TB(LF)(SN)_V_1)"
"TopLayer","J5","12.7000","3.6920","180","QWIIC SM04B-SRSS-TB(LF)(SN)","Standard","CONN HEADER SH 4POS SIDE 1MM TIN QWIIC pinout","QWIIC_SM04B-SRSS","QWIIC Connector Pin Order"
"TopLayer","J6","12.7000","21.7080","0","QWIIC SM04B-SRSS-TB(LF)(SN)","Standard","CONN HEADER SH 4POS SIDE 1MM TIN QWIIC pinout","QWIIC_SM04B-SRSS","QWIIC Connector Pin Order"
"BottomLayer","J7","2.5400","19.0500","0","Header 2-Pin, 0.100 in","Standard","Header 2-Pin, 0.100 inch (0.230 inch head)","HEADER_AA_002","Header, 0.100" pitch, type AA. 2POS"
"BottomLayer","J8","21.5900","19.0500","0","Header 3-Pin, 0.100 in","Standard","Header 3-Pin, 0.100 inch (0.230 inch head)","HEADER_AA_003","Header, 0.100" pitch, type AA. 3POS"
"TopLayer","R1","12.7000","9.0170","180","WSL2010R2500FEA","Standard","0R250 Metal Strp 2010 1% 1/2W 75Ppm/ C WSL2010R2500FEA","FP-WSL2010-0_508-MFG",""
"TopLayer","R2","18.1610","22.4790","90","RC0603FR-0722KL","Standard","Chip Resistor, 22 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","RESC1608X55X25LL10T15","Chip Resistor, 2-Leads, Body 1.70x0.90mm, IPC High Density"
"TopLayer","R3","19.4310","22.4790","90","RC0603FR-0722KL","Standard","Chip Resistor, 22 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","RESC1608X55X25LL10T15","Chip Resistor, 2-Leads, Body 1.70x0.90mm, IPC High Density"
