Altium Designer Pick and Place Locations
C:\Users\Ethan\Development_VM\hw-exp\n21\n21-evt\n21-design\Project Outputs for n21-evt\n21-evt__MFG_2022-05-20\Pick Place\Pick Place for n21-evt.txt

========================================================================================================================
File Design Information:

Date:       20/05/22
Time:       15:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                                       Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                            
MOD1L      "Socket 16-Pin, 0.100 inch (0.335 inch body)" TopLayer    16PIN_254MM                      1000.000      1187.402      180      "Socket 16-Pin, 0.100 in"                                                                              
MOD1R      "Socket 12-Pin, 0.100 inch (0.335 inch body)" TopLayer    12PIN_254MM                      800.000       387.402       180      "Socket 12-Pin, 0.100 in"                                                                              
C24        22uF                                          BottomLayer CAP_FILM_0805                    1595.000      2570.000      0        "????(MLCC) 22µF ±20% 16V X5R 0805"                                                                    
C23        22uF                                          BottomLayer CAP_FILM_0805                    1595.000      2730.000      0        "????(MLCC) 22µF ±20% 16V X5R 0805"                                                                    
C22        22uF                                          BottomLayer CAP_FILM_0805                    1595.000      2650.000      0        "????(MLCC) 22µF ±20% 16V X5R 0805"                                                                    
C25        "0.1 µF"                                      BottomLayer CAP_0402_1005                    1580.000      2815.000      180      "CAP CER 0.1UF 16V X7R 0402"                                                                           
FID6       TPS                                           BottomLayer FIDUCIAL                         1725.000      275.000       90       FIDUCIAL                                                                                               
FID5       TPS                                           BottomLayer FIDUCIAL                         1775.000      3795.000      90       FIDUCIAL                                                                                               
FID4       TPS                                           BottomLayer FIDUCIAL                         290.000       3920.000      90       FIDUCIAL                                                                                               
FID3       TPS                                           TopLayer    FIDUCIAL                         280.000       3925.000      90       FIDUCIAL                                                                                               
FID2       TPS                                           TopLayer    FIDUCIAL                         135.000       675.000       90       FIDUCIAL                                                                                               
FID1       TPS                                           TopLayer    FIDUCIAL                         1885.000      280.000       0        FIDUCIAL                                                                                               
SW4        CJS-1200TA                                    TopLayer    SW_CJS-1200TA                    1595.000      1520.000      90       "Switch Slide N.O./N.C. SPDT Raised Slide 0.1A 24VDC J-Hook SMD Embossed T/R"                          
U6         DGQ2788AEN-T1-GE4                             BottomLayer QFN40P260X180X60-16N             865.000       1010.000      0        "Analog Switch Quad SPDT Automotive 16-Pin Mini-QFN T/R"                                               
TP1        TESTPAD                                       TopLayer    TESTPAD_127                      330.000       1585.000      90       TESTPOINT                                                                                              
U5         MAX17225ELT+                                  BottomLayer MAX17225ELT+UDFN                 1405.000      1943.976      90       "nanoPower Boost Converter that Extends Battery Life and Reduces Solution Size"                        
R17        "82 kOhms"                                    BottomLayer RES_0402_1005                    1570.000      2105.000      180      "RES 82K OHM 1% 1/16W 0402"                                                                            
L3         1285AS-H-2R2M=P2                              BottomLayer 1285AS-H-2R2M=P2-INDC2016X100N   1470.000      2150.000      90       "Inductor Power Shielded Wirewound 2.2uH 20% 1MHz Metal 1.2A 0.204Ohm DCR 0806 T/R"                    
DS7        STPS3H100U                                    BottomLayer DO214AA_SMB                      375.000       775.000       90       "DIODE SCHOTTKY 100V 3A SMB"                                                                           
