Altium Designer Pick and Place Locations
C:\Users\luca.brighenti\FAE TECHNOLOGY S.P.A\R&D - ENGINEERING\BLUES\2025-0019\04-PCB\V4\Project-Outputs\FAB\Pick Place\Pick Place for Notecarrier-XI_V4.txt

========================================================================================================================
File Design Information:

Date:       09/10/25
Time:       08:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                   Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                    
D5         PESD5V0X1UB,135           TopLayer    SOD-523F                       2486.221      3372.047      270      "TVS DIODE 5VWM 8VC SOD523"                                                                                                                                                                    
SW2        EVP-BB2A9B000             TopLayer    SW_EVP-BB2A9B000               2390.748      3373.032      180      "SWITCH TACTILE SPST-NO 0.05A 15V"                                                                                                                                                             
C31        100n                      TopLayer    C-0402                         2486.221      3283.465      270      "Capacitor ceramic 100n ±10% X7R 16V 0402"                                                                                                                                                     
R29        3k                        BottomLayer R-0402                         251.969       1675.197      0        "Resistor 3k ±1% 0402"                                                                                                                                                                         
C28        10u                       BottomLayer C-0805                         484.252       1301.181      0        "Capacitor ceramic 10u ±20% X5R 25V 0805"                                                                                                                                                      
R32        15k                       BottomLayer R-0402                         446.850       1470.472      90       "Resistor 15k ±1% 0402"                                                                                                                                                                        
R30        3k                        BottomLayer R-0402                         509.843       1409.449      0        "Resistor 3k ±1% 0402"                                                                                                                                                                         
R31        11k                       BottomLayer R-0402                         492.126       1470.472      90       "Resistor 11k ±1% 0402"                                                                                                                                                                        
LD1        SML-P12WTT86R             TopLayer    LED-0402                       251.969       1675.197      180      "LED YELLOW CLEAR 0402 SMD"                                                                                                                                                                    
L7         XFL4020-152MEC            BottomLayer IND_XFL4020                    777.559       1591.929      90       "Inductor 1u5 ±20% 4.6A SMD"                                                                                                                                                                   
C30        4u7                       BottomLayer C-0603                         594.488       1382.874      90       "Capacitor ceramic 4u7 ±10% X5R 10V 0603"                                                                                                                                                      
C29        100n                      BottomLayer C-0402                         509.843       1364.173      0        "Capacitor ceramic 100n ±10% X5R 25V 0402"                                                                                                                                                     
C27        4u7                       BottomLayer C-0603                         460.630       1572.835      270      "Capacitor ceramic 4u7 ±10% X5R 10V 0603"                                                                                                                                                      
J9         "STRIP 5Px2 - MDT"        TopLayer    J-5X2-0254-MDT                 1899.606      1274.016      180      "STRIP 2P M/D DOPPIA FILA P=2.54 DORATO CH81802V100"                                                                                                                                           
R28        0R0                       BottomLayer R-0603                         1700.787      1437.992      90       "Resistor 0R0 0603"                                                                                                                                                                            
R27        0R0                       BottomLayer R-0603                         1799.213      1437.992      90       "Resistor 0R0 0603"                                                                                                                                                                            
R26        0R0                       BottomLayer R-0603                         1899.606      1437.992      90       "Resistor 0R0 0603"                                                                                                                                                                            
R25        0R0                       BottomLayer R-0603                         1998.032      1437.992      90       "Resistor 0R0 0603"                                                                                                                                                                            
R24        0R0                       BottomLayer R-0603                         2098.425      1437.992      90       "Resistor 0R0 0603"                                                                                                                                                                            
D4         DFLS1100-7                BottomLayer DIO_DFLS1100-7                 954.724       1560.532      90       "Diode Schottky 1A 100V PowerDI 123"                                                                                                                                                           
J8         "B2B-PH-SM4-TBT (LF)(SN)" TopLayer    CONN2_B2B-PH-SM4_JST           960.492       1461.811      90       "CONN HEADER SH 2POS VERT 2MM TIN"                                                                                                                                                             
D2         FSV1045V                  BottomLayer DIO_FSV1045V                   1374.016      2959.260      0        "Diode Schottky 10A 45V TO2773"                                                                                                                                                                
R23        0R0                       TopLayer    MN_0402_0603                   2683.074      154.715       270      "Resistor 0R0 0603"                                                                                                                                                                            
R22        0R0                       TopLayer    MN_0402_0603                   2742.129      154.715       270      "Resistor 0R0 0603"                                                                                                                                                                            
R21        0R0                       TopLayer    MN_0402_0603                   2330.709      815.945       90       "Resistor 0R0 0603"                                                                                                                                                                            
R20        0R0                       TopLayer    MN_0402_0603                   2330.709      709.646       90       "Resistor 0R0 0603"                                                                                                                                                                            
C26        0.5p                      TopLayer    MN_0402_0603                   2742.126      1079.088      270      "Capacitor ceramic 0.5p ±5% C0G 50V 0402"                                                                                                                                                      
